sample_name,matrix,treatment,strip,manure_amendment,plot,block,sample_day,sample_num,soil_type,depth,replicate,miseq_run
ACM_T000_P7_S1_D1,soil,ACM,N,Y,7,1,T000,1,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P7_S1_D2,soil,ACM,N,Y,7,1,T000,1,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P7_S2_D1,soil,ACM,N,Y,7,1,T000,2,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P7_S2_D2,soil,ACM,N,Y,7,1,T000,2,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P7_S3_D1,soil,ACM,N,Y,7,1,T000,3,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P7_S3_D2,soil,ACM,N,Y,7,1,T000,3,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P7_S4_D1,soil,ACM,N,Y,7,1,T000,4,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P7_S4_D2,soil,ACM,N,Y,7,1,T000,4,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P7_S5_D1,soil,ACM,N,Y,7,1,T000,5,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P7_S5_D2,soil,ACM,N,Y,7,1,T000,5,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P8_S1_D1,soil,ACM,N,Y,8,2,T000,1,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P8_S1_D2,soil,ACM,N,Y,8,2,T000,1,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P8_S2_D1,soil,ACM,N,Y,8,2,T000,2,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P8_S2_D2,soil,ACM,N,Y,8,2,T000,2,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P8_S3_D1,soil,ACM,N,Y,8,2,T000,3,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P8_S3_D2,soil,ACM,N,Y,8,2,T000,3,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P8_S4_D1,soil,ACM,N,Y,8,2,T000,4,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P8_S4_D2,soil,ACM,N,Y,8,2,T000,4,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P8_S5_D1,soil,ACM,N,Y,8,2,T000,5,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P8_S5_D2,soil,ACM,N,Y,8,2,T000,5,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P9_S1_D1,soil,ACM,N,Y,9,3,T000,1,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P9_S1_D2,soil,ACM,N,Y,9,3,T000,1,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P9_S2_D1,soil,ACM,N,Y,9,3,T000,2,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P9_S2_D2,soil,ACM,N,Y,9,3,T000,2,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P9_S3_D1,soil,ACM,N,Y,9,3,T000,3,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P9_S3_D2,soil,ACM,N,Y,9,3,T000,3,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P9_S4_D1,soil,ACM,N,Y,9,3,T000,4,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P9_S4_D2,soil,ACM,N,Y,9,3,T000,4,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T000_P9_S5_D1,soil,ACM,N,Y,9,3,T000,5,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACM_T000_P9_S5_D2,soil,ACM,N,Y,9,3,T000,5,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACM_T002_P7_S1_D1,soil,ACM,N,Y,7,1,T002,1,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P7_S1_D2,soil,ACM,N,Y,7,1,T002,1,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P7_S2_D1,soil,ACM,N,Y,7,1,T002,2,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P7_S2_D2,soil,ACM,N,Y,7,1,T002,2,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P7_S3_D1,soil,ACM,N,Y,7,1,T002,3,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P7_S3_D2,soil,ACM,N,Y,7,1,T002,3,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P7_S4_D1,soil,ACM,N,Y,7,1,T002,4,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P7_S4_D2,soil,ACM,N,Y,7,1,T002,4,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P7_S5_D1,soil,ACM,N,Y,7,1,T002,5,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P7_S5_D2,soil,ACM,N,Y,7,1,T002,5,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S1_D1,soil,ACM,N,Y,8,2,T002,1,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S1_D2,soil,ACM,N,Y,8,2,T002,1,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S2_D1,soil,ACM,N,Y,8,2,T002,2,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S2_D2,soil,ACM,N,Y,8,2,T002,2,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S3_D1,soil,ACM,N,Y,8,2,T002,3,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S3_D2,soil,ACM,N,Y,8,2,T002,3,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S4_D1,soil,ACM,N,Y,8,2,T002,4,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S4_D2,soil,ACM,N,Y,8,2,T002,4,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S5_D1,soil,ACM,N,Y,8,2,T002,5,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
